codigo,descricao
2.03.06.03.02,"Serviços (Recepção, Promotor) - Comercial"
2.03.06.03.03,Locação de Espaço - Comercial
2.03.06.03.04,"Locação de Equip.,Máq.,Utensílios,Mob. - Comercial"
2.03.06.03.05,Treinamentos com corretores
2.03.06.03.06,Despesas com viagem - Comercial
2.03.07.01,Comissão de Corretagem - Venda unidade
2.03.07.02,Remuneração Variável Interna
2.03.08.01.01,Construção Stand
2.03.08.01.02,Maquete Stand
2.03.08.01.03,Decoração Stand
2.03.08.01.04,Projeto Arquitetônico Stand
2.03.08.01.05,Seguro Stand
2.03.08.01.06,Locação Espaço Stand
2.03.08.01.07,Recepcionista Stand
2.03.08.01.08,Manutenção da Maquete Stand
2.03.08.01.09,Manutenção do Stand
2.03.08.01.10,"Despesas de Consumo (Água, Luz, Telefone) Stand"
2.03.08.01.11,Aquisição de Móveis e Utens. Stand - Imobilizado
2.03.08.02.01,Construção PDV
2.03.08.02.02,Maquete PDV
2.03.08.02.03,Decoração PDV
2.03.08.02.04,Projeto Arquitetônico PDV
2.03.08.02.05,Manutenção PDV
2.03.08.02.06,"Despesas de consumo (água, luz, tel,) PDV"
2.03.08.02.07,Aquisição de Móveis PDV - Imobilizado
2.03.08.02.08,Aquisição de Computadores e Periféricos - Imobiliz
2.03.08.03.01,Construção Casa/Apto Modelo
2.03.08.03.02,Decoração Casa/Apto Modelo
2.03.08.03.03,Projeto Arquitetônico Casa/Apto Modelo
2.03.08.03.04,Transferência Casa/Apto Modelo
2.03.08.03.05,Paisagismo Casa/Apto Modelo
2.03.08.03.06,Seguro Casa Conceito/Apto Modelo
2.03.08.03.07,Manutenção da Casa Conceito/Apto Modelo
2.03.08.03.08,"Despesas de Consumo(Água, Luz, Tel.) Casa/Apto Mod"
2.03.08.03.09,Aquisição de Móveis e Utens. Casa/Apto Mod - Imobi
2.01.02,PIS
2.01.02,COFINS
2.01.02,ISS
2.01.02,ISQN Antecipado
2.01.02,IRRF - Imposto de Renda Retido na Fonte
2.01.02,IR Pessoa Jurídica
2.01.02,Contrato Social - IR
2.01.02,INSS
2.01.02,IPTU
2.01.02,CSLL
2.01.02,Taxas Diversas
2.01.02,RET
2.01.02,CIDE
2.01.02,(-) Reembolso de Despesas Tributárias
2.01.02,Aquisição de Veículos
2.01.02,Aquisição de Máquinas e Equipamentos
2.01.02,Aquisição de Computadores e Periféricos
2.01.02,Aquisição de Móveis e Utensílios
2.01.02,"Aquisição de Celulares, Telefonia e Monitoramento"
2.01.02,Adiantamento aos Fornecedores
2.01.02,Adiantamento aos Colaboradores
2.01.02,Adiantamento à Diretoria
2.01.02,Adiantamento à Obra
2.01.02,Adiantamento ao Escritório
2.01.02,Adiantamento aos Sócios
2.01.02,(-) Abatimento de Adiantamento
2.01.02,Compra de Imóveis
2.01.02,Pagamentos de Seguros MIP
2.01.02,(-) Reembolso de Seguros MIP
2.09,Estorno de pagamento Indevido
2.10.01.01,Taxa de gerenciamento de Obra
2.10.01.02,(-) Taxa de Gerenciamento de Obra
2.10.02.01,Despesas de Condominio
2.10.02.02,Cartórios (Registros / Autenticações/ ITBI)
2.10.02.03,Alvarás
2.10.02.04,IPTU
2.10.02.05,Manutenções em Unidades de Estoques
2.01.02,Cota Cooperativa
2.01.02,Pagamento de Despesas Administrativas
2.01.02,(-) Recebimentos de Despesas Administrativas
2.01.02,Assessoria e Consult. (Conselho de Administração)
2.01.02,Despesas com Viagens (Conselho de Administração)
2.01.02,Alimentação (Conselho de Administração)
